horizon,n,ic,rank_ic,nw_t,p_value,spread_bps,family,symbol,factor,fdr_q
21,577,-0.134,-0.145,-2.03,0.042,-135.0,cftc_tff,ES,ALDIV,0.9785
5,769,-0.055,-0.053,-1.38,0.1662,-23.0,cftc_tff,ES,ALDIV,0.9785
21,577,0.067,0.077,1.19,0.2322,122.0,cftc_tff,ES,DSPR,0.9785
21,576,-0.032,-0.002,-1.01,0.3105,16.0,cftc_tff,ES,DLS1,0.9785
21,540,0.037,0.092,0.97,0.3323,159.0,cftc_tff,NQ,ASPR,0.9785
21,577,0.044,-0.001,0.86,0.3915,58.0,cftc_tff,ES,LSPR,0.9785
21,576,0.029,0.004,0.76,0.4457,4.0,cftc_tff,ES,DAS1,0.9785
21,577,0.056,0.093,0.73,0.468,109.0,cftc_tff,ES,ASPR,0.9785
21,540,-0.044,-0.031,-0.72,0.4704,-44.0,cftc_tff,NQ,ALDIV,0.9785
5,769,0.026,0.04,0.67,0.5003,35.0,cftc_tff,ES,ASPR,0.9785
5,720,-0.026,-0.006,-0.66,0.5093,-21.0,cftc_tff,NQ,ALDIV,0.9785
21,539,-0.015,-0.034,-0.58,0.5589,1.0,cftc_tff,NQ,DAS1,0.9785
5,769,-0.027,-0.02,-0.58,0.5618,-4.0,cftc_tff,ES,DSPR,0.9785
21,540,0.019,0.076,0.49,0.6259,148.0,cftc_tff,NQ,DSPR,0.9785
21,540,0.016,0.014,0.32,0.7467,51.0,cftc_tff,NQ,LSPR,0.9785
5,720,-0.009,0.029,-0.26,0.7936,19.0,cftc_tff,NQ,ASPR,0.9785
5,719,0.008,0.066,0.18,0.8556,67.0,cftc_tff,NQ,DLS1,0.9785
5,769,-0.007,-0.032,-0.16,0.8702,-17.0,cftc_tff,ES,LSPR,0.9785
5,768,-0.009,-0.009,-0.16,0.8719,-13.0,cftc_tff,ES,DAS1,0.9785
5,720,0.003,0.037,0.09,0.9272,46.0,cftc_tff,NQ,LSPR,0.9785
21,539,0.003,0.037,0.09,0.9311,68.0,cftc_tff,NQ,DLS1,0.9785
5,720,0.002,0.012,0.06,0.9523,35.0,cftc_tff,NQ,DSPR,0.9785
5,719,-0.002,-0.046,-0.06,0.9524,-35.0,cftc_tff,NQ,DAS1,0.9785
5,768,-0.001,-0.044,-0.03,0.9785,-26.0,cftc_tff,ES,DLS1,0.9785
