horizon,n,ic,rank_ic,nw_t,p_value,spread_bps,family,symbol,factor,fdr_q
5,3349,0.062,0.077,2.69,0.0071,55.0,structure_oi,NQ,NCURV,0.2556
21,2373,0.066,0.061,1.99,0.0463,103.0,structure_oi,NQ,NCURV,0.8334
5,3344,-0.04,-0.007,-1.55,0.1219,-15.0,structure_oi,NQ,OIMD5,0.8795250000000001
5,3344,-0.043,-0.05,-1.45,0.1457,-21.0,structure_oi,NQ,FOID5,0.8795250000000001
21,2755,0.081,0.065,1.43,0.1532,61.0,structure_oi,ES,OIMAT,0.8795250000000001
1,3588,-0.021,-0.013,-1.38,0.1684,-6.0,structure_oi,NQ,OIMD5,0.8795250000000001
21,2755,-0.066,-0.03,-1.17,0.241,-85.0,structure_oi,ES,OIRAT,0.8795250000000001
1,4075,0.017,0.01,1.04,0.2967,0.0,structure_oi,ES,OIMAT,0.8795250000000001
1,3588,-0.02,-0.022,-1.01,0.3122,-4.0,structure_oi,NQ,FOID5,0.8795250000000001
21,2755,0.045,0.056,1.0,0.3155,81.0,structure_oi,ES,VMOI,0.8795250000000001
5,3811,-0.027,-0.003,-0.97,0.3336,-29.0,structure_oi,ES,OIRAT,0.8795250000000001
5,3806,-0.022,-0.011,-0.96,0.339,-12.0,structure_oi,ES,OIMD5,0.8795250000000001
5,3811,0.02,0.005,0.95,0.3418,10.0,structure_oi,ES,NCURV,0.8795250000000001
5,3811,0.023,0.005,0.91,0.3605,25.0,structure_oi,ES,VMOI,0.8795250000000001
5,3811,0.025,0.008,0.88,0.3792,-0.0,structure_oi,ES,OIMAT,0.8795250000000001
1,4075,-0.014,-0.003,-0.86,0.3909,-3.0,structure_oi,ES,OIRAT,0.8795250000000001
21,2373,0.044,0.034,0.72,0.4722,56.0,structure_oi,NQ,OIMAT,0.9331578947368421
5,3806,-0.016,-0.029,-0.7,0.4843,4.0,structure_oi,ES,FOID5,0.9331578947368421
21,2750,0.025,0.013,0.69,0.4925,22.0,structure_oi,ES,FOID5,0.9331578947368421
21,2368,0.021,0.01,0.45,0.6519,76.0,structure_oi,NQ,FOID5,0.9860000000000001
21,2368,0.017,-0.01,0.44,0.6614,-13.0,structure_oi,NQ,OIMD5,0.9860000000000001
1,4070,-0.007,-0.006,-0.42,0.6723,8.0,structure_oi,ES,FOID5,0.9860000000000001
1,3593,0.009,-0.017,0.38,0.7024,-2.0,structure_oi,NQ,VMOI,0.9860000000000001
21,2373,-0.018,-0.001,-0.38,0.7075,1.0,structure_oi,NQ,VMOI,0.9860000000000001
21,2750,0.013,0.018,0.35,0.7244,30.0,structure_oi,ES,OIMD5,0.9860000000000001
1,4075,0.005,-0.005,0.34,0.7355,2.0,structure_oi,ES,VMOI,0.9860000000000001
5,3349,0.008,-0.005,0.29,0.77,-9.0,structure_oi,NQ,OIMAT,0.9860000000000001
1,3593,0.004,-0.005,0.25,0.805,-4.0,structure_oi,NQ,OIMAT,0.9860000000000001
1,4070,-0.003,-0.005,-0.18,0.8553,-7.0,structure_oi,ES,OIMD5,0.9860000000000001
1,3593,-0.003,0.014,-0.15,0.8786,1.0,structure_oi,NQ,NCURV,0.9860000000000001
21,2373,-0.008,-0.005,-0.14,0.8903,-4.0,structure_oi,NQ,OIRAT,0.9860000000000001
1,3593,0.002,0.013,0.13,0.8975,0.0,structure_oi,NQ,OIRAT,0.9860000000000001
21,2755,-0.002,0.015,-0.07,0.9431,-8.0,structure_oi,ES,NCURV,0.9860000000000001
5,3349,0.002,-0.01,0.06,0.9491,-1.0,structure_oi,NQ,VMOI,0.9860000000000001
1,4075,-0.001,-0.017,-0.05,0.9589,-1.0,structure_oi,ES,NCURV,0.9860000000000001
5,3349,0.001,0.007,0.02,0.986,8.0,structure_oi,NQ,OIRAT,0.9860000000000001
